NUMBER OF DESIRED GROUPS:	12	INCLUDE ABSENT STUDENTS?	Y
OR		****SEPARATION FACTORS****	
GROUP SIZE:	NA	AVOID TROUBLE WITH TROUBLE? (1 RATINGS NOT WITH OTHER 1 RATINGS)	N
MAX SIZE:	NA	AVOID TROUBLE WITH SHY? (0 RATING NOT WITH 1 RATING)	N
MIN SIZE:	NA	BASE LOGIC ON SOCIABILITY RATING? (5 POINT RATING SYSTEM)	N
		TRY TO BALANCE 50:50 RATIO AMONG MALES AND FEMALES?	N
			
ABSENT (X)	STUDENT NAME	"SOCIABILITY RATING (0-5, 0 = TROUBLE, 1 = SHY, 2 = BELOW AVERAGE,  3 = AVERAGE, 4 = ABOVE AVERAGE, 5 = OUTGOING)"	GENDER (M OR F)
	Albus Dumbledore	0	M
	Harry Potter	0	M
	Tom Riddle AKA Voldemort	0	M
	Hermione Granger	0	F
	Ronald Weasley	1	M
	Draco MALFOY	1	M
	Minerva MCGONAGALL	3	F
	Severus SNAPE	0	M
X	Molly Weasley	1	F
	Arthur Weasley	0	M
	Fred Weasley	1	M
X	George Weasley	5	M
	Percy Weasley	2	M
	Bill Weasley	5	M
	Charlie Weasley	5	M
	Ginny Weasley	2	F
	Cho Chang	2	F
	Vernon Dursley	2	M
	Petunia Dursley	2	F
	Dudley Dursley	2	M
X	Lavender Brown	4	F
	Cedric Diggory	4	M
	Victor Krum	2	M
X	Moaning Myrtle	2	F
	Fleur Delacour	4	F
	Dobby	5	M
X	Kreacher	1	M
X	Hedwig	2	F
	Sirius Black	3	M
	Remus Lupin	2	M
	James Potter	4	M
	Lilly Potter	4	F
	Aberforth Dumbledore	2	M
	Arianna Dumbledore	2	F
	Kendra Dumbledore	2	F
	Percival Dumbledore	3	M
	CORNELIUS Fudge	4	M
	Barty Crouch Jr.	2	M
	Barty Crouch Sr.	4	M
	Alastor Moody	3	M
	Kingsley Shacklebolt	4	M
	Nymphadora Tonks	4	F
	Rubeus Hagrid	5	M
	Gregory Goyle	0	M
	Neville Longbottom	2	M
	Vincent Crabbe	0	M
	Garrick Ollivander	3	M
